Nombre Tabla|Tipo|Campos|Descripcion|Resultado|Estado de Migracion|Notas
#AlmacenesRespaldo|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes de respaldo.|Parametriza el respaldo de inventario.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
VTASCReglasEcommerce|TABLA PERMANENTE|IdReglasEcommerce; AlmacenesPrincipales; AlmacenesSecundarios; AlmacenRespaldo; ArtPorAlmacenPrincipal|Tabla que dicta cuanta existencia minima debe haber por tipo de almacen para VIU.|Condiciona el pase de articulos por inventario.|Migrado|Tabla permanente consultada por cache
ArtDisponible|TABLA PERMANENTE|Empresa; Almacen; Articulo; Disponible|Existencia detallada por almacen.|Se suma contra las reglas de VTASCReglasEcommerce.|Migrado|Tabla permanente consultada por cache
#DisponiblePorAlmacenP|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Disponible INT; Regla INT|Total de existencia de un articulo en los almacenes Principales.|Paso intermedio para reglas de inventario.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#articulos|TEMPORAL (SELECT INTO)|Articulo; Nombrecorto; Familia; Linea; Marcae; existencia; rtipo; Preciocont; exclusivoweb; May; IE|Tabla depurada despues de evaluar #Listadoarticulos contra reglas de existencia y almacenes.|Filtro final de existencia antes de procesar marketing y categorias.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
ecommerceactualizarimagenes|TABLA PERMANENTE|Articulo; Estatus; Imagen|Tabla de imagenes de Magento.|Sirve para descartar articulos que no tienen imagen procesada.|Migrado|Tabla permanente consultada por cache
SCMArtImagen|TABLA PERMANENTE|Articulo; Imagen; Valor; Orden|Tabla auxiliar de imagenes.|Join con ecommerceactualizarimagenes.|Migrado|Tabla permanente consultada por cache
#propsgeneral|TEMPORAL (SELECT INTO)|IdCatalogoPropiedad; Propiedad; AtributoMagento; AtributoType; TipoVariacion|Define los atributos que seran exportados mapeandolos a la nomenclatura de Magento.|Catalogo base de atributos permitidos.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
items_propiedad|TABLA PERMANENTE|articulo; id_fam_prop; valor_posible; valor|Valores de las propiedades asociadas al articulo en Intelisis.|Relacion principal articulo-propiedad.|Migrado|Tabla permanente consultada por cache
familia_propiedad|TABLA PERMANENTE|id; propiedad; familia; linea|Catalogo que asocia una propiedad a una Familia/Linea.|Filtra que atributos aplican a la familia.|Migrado|Tabla permanente consultada por cache
catalogo_propiedad|TABLA PERMANENTE|id; propiedad; atributoMagento; attributetype|Catalogo general de propiedades y como se llaman en Magento.|Traduccion de atributos Intelisis-Magento.|Migrado|Tabla permanente consultada por cache
catalogo_valores_posibles|TABLA PERMANENTE|id; valor|Valores discretos de las propiedades (ej. 'Rojo', 'Chico').|Traduccion de IDs de valor a texto.|Migrado|Tabla permanente consultada por cache
#artprops|TEMPORAL (SELECT INTO)|articulo; propiedad; valor; atributoMagento; Familia; Linea; TipoVariacion|Extrae los valores de propiedad especificos para cada articulo.|Valores literales de cada atributo por articulo.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
eCommerceSetPropiedades|TABLA PERMANENTE|IdFamPropiedad; Familia; Linea; NombreSet; VKORG|"Define que ""Attribute Set"" de Magento le toca a cada familia para VIU."|Asocia la categoria macro en Magento (ej. Default, Ropa).|Migrado|Tabla permanente consultada por cache
#SETprop|TEMPORAL (SELECT INTO)|Familia; Linea; nombreset|Determina el Attribute Set Code de Magento basado en eCommerceSetPropiedades.|Agrupa articulos para asignar su Set.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#AtributosAdd|TEMPORAL (SELECT INTO)|Articulo; Adicionales|Concatena en formato clave=valor todos los atributos adicionales de Magento.|String final para additional_attributes.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
EcommerceRelCatMagento|TABLA PERMANENTE|ClassN2Intelisis; ClassN3Virtual; Ruta|Mapeo crudo de categorias de Intelisis a Magento para VIU.|Contiene las rutas completas (ej. Audio/Audifonos).|Migrado|Tabla permanente consultada por cache
#categFinal|TEMPORAL (CREATE TABLE)|FamIntelisis VARCHAR(100); LinIntelisis VARCHAR(100); LinVirtual VARCHAR(100); Categoria VARCHAR(300)|Rutas de categoria Magento procesadas y limpias.|Asigna categorias a articulos.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
SDSIPCarrusel|TABLA PERMANENTE|Articulo; IdCategoria; VKORG|Asocia un articulo a multiples categorias tipo carrusel (donde VKORG=2).|Aparece en carruseles especiales de VIU.|Migrado|Tabla permanente consultada por cache
SCSIPCategorias|TABLA PERMANENTE|IdSipCategoria; Categoria|Nombres de las categorias de los carruseles.|Se concatena en la ruta de categorias.|Migrado|Tabla permanente consultada por cache
PropreListaDFinal|TABLA PERMANENTE|Articulo; Lista; Sucursal; Precio|Precios finales desde Intelisis (Lista 0 y 90, o segun VIU).|Fuente principal de precios base.|Migrado|Tabla permanente consultada por cache
#precioart|TEMPORAL (SELECT INTO)|articulo; precio_lista; precio_venta; porcentaje_dscto; precio_dif|Calcula precio final de venta basado en Sucursal 90 y 0 para VIU.|Precios finales al CSV.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#TempTop10|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Costo MONEY; Venta MONEY; Posicion INT; Inventario MONEY|Calcula un Top 10 de articulos basado en Costo, Venta e Inventario.|Base numerica para Upsells.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#ArticulosUpsell|TEMPORAL (SELECT INTO)|ArticuloBase; Upsell|Relaciona un articulo con productos mas caros de la misma linea.|String final para upsell_skus.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
eComerceMarketing|TABLA PERMANENTE|IdMarketing; Articulo|Tabla puente para inserciones manuales de marketing local.|Gestiona relaciones cruzadas adicionales.|Migrado|Tabla permanente consultada por cache
#padreshijos|TEMPORAL (CREATE TABLE)|padre VARCHAR(25); hijo VARCHAR(25); sku VARCHAR(10); variaciones VARCHAR(250)|Relaciona articulos simples bajo un configurable para tallas y colores.|Construye productos configurables (tallas/colores).|No Migrado|LÃ³gica faltante en C#
#posicionamiento|TEMPORAL (SELECT INTO)|articulo; posicion|Determina el ordenamiento de los productos.|Posicion en los grids de Magento.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
eComerceExportaArt|TABLA PERMANENTE|Campos Magento + StatusIntelisis|Destino final en SQL Server.|Aqui termina el SP.|Migrado|Tabla permanente consultada por cache
|||||Migrado|Tabla permanente consultada por cache
=== SECCION: Analisis_CSharp_vs_SP ===||||
Nombre Metodo|Tablas o APIs Consultadas|Proceso/Descripcion|Equivalente en SP|Que le falta o difiere|Estado de Migracion|Notas
CargarContextoProceso|APIs SAP: ZAPI_ARTICULOS_SRV, ZCDS_DIM11_EXISTENCIA_CDS, ZAPI_PROPRELIST_SRV, ZAPI_JERARQUIA_ARTICULOS_SRV / API AWS: AS_GET_Familia_Linea / Tablas SQL: SIPExcluirProductos, ExcluirClassN2ClassN3, ClassN2ValidasTdaVirtual, SIPProductos|Obtiene catalogos maestros desde SAP u otros endpoints y tablas SQL para tenerlos en memoria antes del procesamiento.|N/A (En SP todo se lee directo de tablas, aqui se precarga el contexto).|Migrado: Cache de catalogos principales de SAP y DB.|N/A|Analizado en columnas previas
GetListadoArticulos|En Memoria (Contexto previamente cargado)|Aplica reglas iniciales: Estatus, Sip validos, exclusiones por codigo/marca/iniciales, categoria VENTA, tipo articulo, familia, precios.|#Listadoarticulos|Migrado: Filtros de exclusiones, jerarquias y validacion de precios. Difiere: La logica de sucursal 90 y 0 para precios esta aplicada aqui a memoria.|N/A|Analizado en columnas previas
GetArticulosIEMay|Tablas SQL: articulospropiedades, ClassN2Propiedades, CatalogoPropiedad, CatalogoValorePosibles|Cruza el listado de articulos con los articulos configurados como IE, MAYORISTA u OUTLET para priorizarlos.|#articulosIEMay|Migrado: Obtencion de IE/May desde las tablas correctas. |N/A|Analizado en columnas previas
GetArticulosFiltrados|API AWS: AI_GET_CatalogoConfiguracion (DM0285...) / Tabla SQL: ReglasEcommerce|Aplica 7 reglas complejas de existencia segun almacenes principales, secundarios y de respaldo (Muebles, Calzado, Bloqueados con -Q-, etc.). Ajusta existencia a 200 si es IE/May.|#articulos y #DisponiblePorAlmacen...|Migrado: Toda la logica y condicionales de reglas de existencia, identificacion de IE/May y actualizacion de existencia virtual.|N/A|Analizado en columnas previas
FiltrarArticulosConImagen|Tablas SQL: ecommerceactualizarimagenes, SCMArtImagen|Elimina los articulos que no tengan una imagen optimizada asociada.|Filtro final en #articulos (ecommerceactualizarimagenes)|Migrado: Uso de tablas para filtrar los no validos.|N/A|Analizado en columnas previas
GetCarruselCategorias|Tablas SQL: SDSIPCarrusel, SCSIPCategorias|Obtiene las categorias especiales de carrusel (multiples categorias).|#CarruselCategoria|Migrado.|N/A|Analizado en columnas previas
GetPreciosFinales|En Memoria (Contexto previamente cargado)|Calcula el precio de venta final, precio especial y detecta si es oferta comparando Precio vs RefPrice para Contado MA (ACEF).|#precioart, #precio_precioesp|Migrado: Seleccion de precios suc 90 vs 0 y logica basica de oferta.|N/A|Analizado en columnas previas
GetPropiedadesArticulos|Tablas SQL: articulospropiedades, ClassN2Propiedades, CatalogoPropiedad, eCommerceSetPropiedades, CatalogoValoresPosibles|Mapea propiedades del articulo para Magento. Construye AtributoMagento=Valor y asigna NombreSet. Agrega 'MARCA' si no es Mueble.|#propsgeneral, #artprops, #SETprop|Migrado: Logica de generacion basica de sets y props. Falta: Tratamiento complejo de colores (color_filtro vs color) que si tiene el SP. Falta 'category_control' y 'Product_Control'.|N/A|Analizado en columnas previas
GetCategoriasMagento|Tabla SQL: EcommerceRelCatMagento|Construye las categorias completas para exportacion. Mapea Intelisis->Magento, agrega ruta de SUPERPROMO y Carruseles, recorta 1 nivel si es Oferta, maneja sublinea virtual y default.|#categ, #categFinal, #FamLinCat|Migrado: Concatenacion y formateo de ramas (rutas) completas de categorias. Difiere: Ya no usa tablas temporales con loops, usa HashSets.|N/A|Analizado en columnas previas
GetRelacionesMarketing|APIs SAP: ZAPI_CROSSSELL_SRV, ZAPI_UPSELL_SRV, ZAPI_SUSTITUTOS_SRV|Calcula Upsells basados en precios mayores (8 arts) y menores (2 arts) misma Familia+Linea. Precarga cache masivo. Obtiene Cross-sells de endpoint de SAP.|#ArticulosUpsell, #ArticulosCrossP/F/H, eComerceMarketing|Migrado: Upsells locales. Difiere: Cross-sell usa endpoint de SAP `GetCrossSell`, `GetUpsell`, `GetSustitutos`, mientras que SP iteraba e insertaba localmente en DB relacional.|N/A|Analizado en columnas previas
GetPosicionamiento|En Memoria (Contexto previamente cargado)|Ordena la prioridad de los articulos para aparicion: agotados primero, luego precios (asc), sin depender de listas legacy. Devuelve la posicion (ranking).|#posicionamiento, #TempTop10, #ListaDePrioridad|Migrado: Logica base refactorizada. Difiere: Omitio la separacion Temporada Especial vs Normal y los listados quemados, priorizando precio/stock para limpieza.|N/A|Analizado en columnas previas
EjecutarProcesoCompleto|Orquestador principal|Orquesta todas las fases del 1 al 15. Contiene las llamadas a metodos y orquesta los datos del contexto.|Estructura principal del SP (desde linea 1 hasta INSERT a eComerceExportaArt)|Migrado: Estructura del flujo principal. Falta: Parte de CONFIGURABLES (#configurables, #ArticuloPadre). Todo el codigo C# relacionado con configurables fue comentado o removido del orquestador.|N/A|Analizado en columnas previas
ConstruirResultadoFinal|En Memoria (Construccion de Objeto)|Arma el modelo final (ProductoEcommerceFinal) asignando cada propiedad a los campos identicos del CSV/DB Magento.|INSERT a eComerceExportaArt (Linea 4806)|"Migrado: Construccion de articulos simples. Faltan: Logica para articulos ""Configurables"" (Type=configurable), Variaciones configurables (configurable_variations), atributos adicionales complejos, Region 6, Excluidos/Desactivados (Update a 2), y control de visibilidad avanzado (Not Visible Individually) para hijos configurables."|N/A|Analizado en columnas previas
GetListadoArticulos|Controlador Web API HTTP GET|Expone la API HTTP GET `/ecommerce/listado` que ejecuta la orquestacion e invoca CargarContextoProceso() + EjecutarProcesoCompleto() [NOTA: En el codigo actual solo llama a CargarContextoProceso].|N/A (Capa de servicio/API HTTP)|Actualmente solo retorna el contexto en duro (linea 18 de EcommerceController), no esta ejecutando 'EjecutarProcesoCompleto()' por lo tanto la logica entera no esta expuesta ni procesando todo.|N/A|Analizado en columnas previas
